Region,ID,Classification,Metro,Address,Facility,Data Center,Contact,Location (Relative to Airport),Colocation Gross SQ FT,Colocation Gross SQ M,Building Type,Parking,Floor Type,Floor Load Capacity,Flood Plain Info,Rating Range,Seismic Design Category,Fire Suppression,Power and Cooling Density,Utility Feeders,UPS Configuration,UPS Redundancy,Standby Power Configuration,Standby Power Redundancy,Cooling Configuration,Cooling Redundancy,Security (Physical),Security (Human),Security (Electronic),Amenities,Products and Services (Colocation ),Products and Services (Interconnection),Products and Services (Services),Products and Services (Packaged Solutions),Certifications,Green By Design,Reliability
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Campus Cross Connect, Extended Cross Connect","Smart HandsÃ¢â€_Â¢
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance HubÃ¢â€_Â¢
 Data HubÃ¢â€_Â¢","SSAE16 SOC-1 Type II, SOC-2 Type II",,

AMER,AT3,IBX,Atlanta,"56 Marietta Street NW
6th Floor
Atlanta, GA 30303",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"9,390",872,"10-story concrete steel
structure, glass face",Adjacent to building (for fee),Raised,150 psf (7.18 kN/mÃ‚Â_),Zone X,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Parallel Redundant,N+1,1 x 750 kW Diesel Generator,N,Evaporative Cooling Refrigeration System,N,Man Trap Entry,Security officers 8am-5pm,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Campus Cross Connect, Extended Cross Connect","Smart HandsÃ¢â€_Â¢
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance HubÃ¢â€_Â¢
Data HubÃ¢â€_Â¢","SSAE16 SOC-1 Type II, SOC-2 Type II",,

AMER,BO1,IBX,Boston,"74 West Street
1st Floor
Waltham, MA 02451",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"13,292","1,235","1-story with lower floor
(below Grade) steel concrete structure,
brick face",Adjacent to building (no charge),Raised,300 psf (14.36 kN/m2),Zone X,,2B,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Parallel Redundant,N+1,3 x 750 kW Diesel Generators,N+1,Evaporative Cooling Refrigeration System,N+1,Man Trap Entry,Security officers 8am25pm,"Card Readers, Biometric Readers (in common areas), CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, Antenna",Cross Connects,"Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, LED Lighting",

AMER,CH1,IBX+,Chicago,"350 East Cermak Road
5th Floor
Chicago, IL 60616",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"50,992","4,737","9-story (main section), two way flat slab concrete construction (existing structure), concrete-steel composite deck (infill sections)","Street parking (no charge) and
adjacent to building (for fee)",Slab,250 psf (11.97 kN/m2),N/A,,NA,"28 independent 
dry-pipe zones",2.4 - 3.0 kVA per cabinet,2,Distributed Redundant,N+1,"6 x 1,500 kW Diesel Generators",N+2,Air-cooled Chillers and Air Handling Units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Cold aisle containment & high efficiency Turbocor, LED Lighting",

AMER,CH2,IBX+,Chicago,"350 East Cermak Road
6th Floor
Chicago, IL 60616",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"58,852","5,468","9-story (main section), two way flat slab concrete construction (existing structure), concrete-steel composite deck (infill sections)","Street parking (no charge) and
adjacent to building (for fee)",Raised,250 psf (11.97 kN/m2),N/A,,NA,"13 independent
dry-pipe zones",2.4 - 3.0 kVA per cabinet,NA,Block Redundant,N+1,"4 x 2,000 kW Diesel Generators",N+2,CRAC Units and Dry Coolers,N+20% (on CRAC units),Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Equinix Cloud Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",Granular temperature controls & Cold aisle containment,

AMER,CH3,IBX+,Chicago,"1905 Lunt Avenue
Elk Grove, IL 60007",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"114,457","10,633","3-story, pre-cast,
concrete building",Adjacent to building (no charge),Slab,150 psf (7.18 kN/m2),N/A,,NA,"19 Double-interlocked,
pre-action (dry pipe)   zones
sprinkler  .",3.0 - 5.0 kVA per cabinet,2,Block Redundant,N+1,"15 x 2,500 kW Diesel Generators",N+2,"Water-cooled centrifugal chillers, water-side heat exchangers, and air handling units",N+2,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls & Cold aisle containment, Reflective roof & Optimized lighting controls",

AMER,CH4,IBX+,Chicago,"350 East Cermak Road
8th Floor
Chicago, IL 60616",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"23,614","2,194","9-story (main section), two way flat slab concrete construction (existing structure), concrete-steel composite deck (infill sections)","Street parking (no charge) and
adjacent to building (for fee)",Raised,125 psf (5.99 kN/m2),N/A,,NA,"Building is fully
equipped throughout with an automatic
sprinkler  .",3.0 - 5.0 kVA per cabinet,4,2N,2N,"6 x 2,000 kW Diesel Generators",N+2,CRAH Units (with 2N Capacity),N+3,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub",,,

AMER,DA1,IBX+,Dallas,"1950 North Stemmons Freeway
Suite 1034
Dallas, TX 75207",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"30,355","2,820","7-story, Telco hotel, 
steel concrete structure",Adjacent to building (no charge),Slab,100 psf (4.79 kN/m2),N/A,,0,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Distributed Redundant,N+1,"3 x 1,500 kW Diesel Generators",N+1,Electric air-cooled screw compressor chillers and air handling units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, Optimized lighting controls",

AMER,DA2,IBX+,Dallas,"1950 North Stemmons Freeway
Suite 2027
Dallas, TX 75207",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"24,542","2,280","7-story, Telco hotel, 
steel concrete structure",Adjacent to building (no charge),Raised,50 psf (2.39 kN/m2),N/A,,0,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 4.0 kVA per cabinet,NA,Block Redundant,N+1,"3 x 2,500 kW Diesel Generators",N+1,Air-cooled Chillers and CRAH Units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Silver, Granular temperature controls, Optimized lighting controls",

AMER,DA3,IBX,Dallas,"1950 North Stemmons Freeway
Suites 1039A & 2048 
Dallas, TX 75207",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"25,869","2,403","7-story, Telco hotel, 
steel concrete structure",Adjacent to building (no charge),Raised,100 psf (4.79 kN/m2),Zone X,,B,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 5.0 kVA per cabinet,4,Block Redundant,N+1,"2 x 2,000 kW and 2 x 2,500 kW Diesel Generators",N+1 (or better depending on suite),Chilled Water System,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Gold, Granular temperature controls",

AMER,DA4,IBX,Dallas,"2323 Bryan Street 
Suite 1400 
Dallas, TX 75201",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"12,533","1,164","24-story stand alone
concrete/steel building, concrete face",Building parking (no charge),Raised,125 psf (5.99 kN/m2),Zone X,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Parallel Redundant,N+1,"1 x 1,500 kW Diesel Generator",N,Evaporative Cooling Refrigeration System,N+1,Man Trap Entry,Security officers 8am25pm,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",,

AMER,DA6,IBX+,Dallas,"1950 North Stemmons Freeway
Suites 2049 & 3050
Dallas, TX 75207",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"82,985","7,710","7-story, Telco hotel, 
steel concrete structure",Adjacent to building (no charge),Raised,450 psf (21.55 kN/m2),Zone X,,B,"Double-Interlocked,
pre-action (VESDA) on colocation floor
and electrical equipment rooms",2.4 - 4.0 kVA per cabinet,NA,Block Redundant,N+1,"3 x 2,500 kW Diesel Generators",N+1,Air-cooled Chillers and CRAH Units,N+1,Man Trap Entry,24x7 security officers,"Card Readers, Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Gold, Granular temperature controls & Cold aisle containment, Optimized lighting controls",

AMER,DA7,IBX+,Dallas,"6653 Pinecrest Drive
Plano, TX 75024",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"9,500",883,"1-story tilt up concrete panel walls, steel braced frames, concrete roof deck and steel roof framing",Adjacent to building (no charge),Raised,150 psf (7.18 kN/m2),NA,,,"Pre-Action   with
Double Interlocked Dry Pipe and 
(VESDA)",6.0 - 10.0 kVA per cabinet,2,Block Redundant,N+1,"2 x 2,500 kW Diesel Generators",N+1,High-efficiency chilled water cooling system with water-side economization and CRAH Units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, AC Power Circuits, Antenna, Private Cage with 20+ Cabinets and 120+ kVA Draw Cap",Metro Connect,"Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub",,"Leed Silver, Hot Aisle Containment",

AMER,DC1,IBX+,Washington D.C.,"21711 Filigree Court
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"19,935","1,852","1-story, tilt-up
concrete, steel, concrete slab on grade",Adjacent to building (no charge),Slab,250 psf (11.97 kN/m2),N/A,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,2N,2N,3 x 800 kW and 1 x 750 kW Diesel Generators,N+1,Air-cooled Chillers and CRAC Units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Equinix Management Access, Campus Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, Reflective roof, LEDs and Optimized lighting controls",

AMER,DC2,IBX+,Washington D.C.,"21715 Filigree Court
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"118,447","11,004","1-story, tilt-up
concrete, steel, concrete slab on grade",Adjacent to building (no charge),Slab,250 psf (11.97 kN/m2),N/A,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Distributed Redundant,N+1,"6 x 2,000 kW Diesel Generators",N+1,Water-cooled centrifugal chillers and air handling units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Equinix Management Access, Campus Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II, PCI-DSS","Energy Star Certified 2012, 2013 & 2015, Granular temperature controls, Reflective Roof, LEDs & Optimized lighting controls, Greywater use in irrigation and cooling",

AMER,DC3,IBX+,Washington D.C.,"44470 Chilum Place
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"67,041","6,228","1-story, CMU (concrete
masonry unit), steel, concrete slab on grade",Adjacent to building (no charge),Raised,200 psf (9.58 kN/m2),N/A,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Block Redundant,N+1,"7 x 2,000 kW Diesel Generators",N+1,Air-cooled Rooftop Units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Equinix Management Access, Campus Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, LEDs & Optimized lighting controls",

AMER,DC4,IBX+,Washington D.C.,"21691 Filigree Court
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"60,587","5,629","1-story, tilt-up concrete
slab on grade",Adjacent to building (no charge),Slab,200 psf (9.58 kN/m2),N/A,,1,"Double-Interlocked,
pre-action (dry pipe)",3.0 - 5.0 kVA per cabinet,NA,Block Redundant,N+1,"7 x 2,500 kW Diesel Generators",N+1,"Split-System, Direct Expansion, Air-cooled, DX CRAC Units",N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Equinix Management Access, Campus Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, Reflective roof, LEDs & Optimized lighting controls",

AMER,DC5,IBX+,Washington D.C.,"21701 Filigree Court
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"57,545","5,346","1-story, tilt-up concrete
slab on grade",Adjacent to building (no charge),Slab,200 psf (9.58 kN/m2),N/A,,1,"Double-Interlocked,
pre-action (dry pipe)",3.0 - 5.0 kVA per cabinet,NA,Block Redundant,N+1,"7 x 2,500 kW Diesel Generators",N+1,"Split-System, Direct Expansion, Air-cooled, DX CRAC Units",N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Equinix Management Access, Campus Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, Reflective roof, LEDs & Optimized lighting controls",

AMER,DC6,IBX+,Washington D.C.,"Main Entrance at DC6
21721 Filigree Court
Ashburn, VA 20147

For Shipments to DC6
21721 Filigree Court Suite A
(DC6 Loading Dock)
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"59,370","5,516","2-story, tilt-up concrete
slab on grade",Adjacent to building (no charge),Slab,500 psf (23.94 kN/m2),N/A,,A,"Double-Interlocked, preaction (dry pipe), with nitrogen purge",4.0 - 6.0 kVA per cabinet,NA,Block Redundant,N+1,"6 x 3,000 kW Diesel Generators",N+1,High efficiency air-cooled chillers and custom air handling units with airside economizer,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Equinix Management Access, Campus Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II, PCI-DSS","LEED Silver, Permeable pavement and Dual AC Level 2 commercial electric vehicle chargers, Reflective roof, LEDs & Optimized lighting controls",

AMER,DC7,IBX,Washington D.C.,"7990 Science Applications Court
Vienna, VA 22182",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"27,356","2,541","2-story, steel concrete
structure glass",Adjacent to building (no charge),Raised,200 psf (9.58 kN/m2),Zone X,,2B,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 5.0 kVA per cabinet,2,Parallel Redundant,N+1 (or better depending on Phase),"3 x 1,200 kW and 5 x 765 kW Diesel Generators",N+1,Evaporative Cooling Refrigeration Systems,N+1,Man Trap Entry,24x7 security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Internet Exchange, Cross Connects","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",,

AMER,DC8,IBX,Washington D.C.,"8502-A Tyco Rd
Vienna, VA 22182",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"9,972",926,"1-story concrete and
steel building, concrete face",Adjacent to building (no charge),Raised,200 psf (9.58 kN/m2),Zone X,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Parallel Redundant,N+1,1 x 750 kW Diesel Generator,N,DX CRAC Units with condensers,N+1,Man Trap Entry,Security officers 8am25pm,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Cross Connects,"Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",,

AMER,DC10,IBX+,Washington D.C.,"21551 Beaumeade Circle
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"84,829","7,881","1-story, steel structure,
concrete recessed slab",Adjacent to building (no charge),Raised,400 psf (19.15 kN/m2),N/A,,A,"Double-Interlocked,
pre-action (dry pipe)",4.0 - 6.0 kVA per cabinet,NA,2N for Business Suites / Block Redundant for Private Cages,2N for Business Suites / N+1 for Private Cages,"10 x 2,000 kW Diesel Generators",N+1,Roof Top Units with Air Side Economizers,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Suites, Business Suites in 281 kVA increments, Private Cage with 20+ Cabinets and 100+ kVA Draw Cap","Cloud Exchange, Internet Exchange, Cross Connects, Campus Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Silver Phase 1, LEED Gold Phase 2, Granular temperature controls & Hot aisle containment",

AMER,DC11,IBX+,Washington D.C.,"Main Entrance via DC6
21721 Filigree Court
Ashburn, VA 20147

For Shipments to DC11
21721 Filigree Court Suite B
(DC11 Loading Dock)
Ashburn, VA 20147",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"62,684","5,824","2-story, steel structure
with exterior concrete panels",Adjacent to building (no charge),Slab,175 psf (8.38 kN/m2),N/A,,A,"Double-Interlocked, preaction (dry pipe), with nitrogen purge",4.0 - 6.0 kVA per cabinet,NA,Block Redundant,N+1,"10 x 2,500 kW Diesel Generators",N+1,High efficiency evaporative condensed rooftop units with airside economizer,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
